categorie,parametre,valeur,univers,horizon_j,n_obs,n_dates,mean_fwd_pct,mean_base_pct,mean_excess_pct,t_absolu,t_excess,hit_rate,hit_rate_base,edge_hit_pts,status
seuil_ext_short,ext_atr20,1.25,US500,20,13435,989,0.3034,1.1413,-0.595,0.69,-2.19,54.6,58.25,-3.64,ok
seuil_ext_short,ext_atr20,1.25,SPX,5,325,325,-0.0423,0.1496,-0.1919,-0.24,-1.08,51.69,55.83,-4.14,ok
seuil_ext_short,ext_atr20,1.25,SPX,10,325,325,0.3085,0.299,0.0095,1.07,0.03,56.62,57.95,-1.33,ok
seuil_ext_short,ext_atr20,1.25,SPX,20,325,325,0.4491,0.6024,-0.1533,0.93,-0.32,58.15,60.34,-2.18,ok
seuil_ext_short,ext_atr20,1.25,BTC,5,164,164,0.8116,1.2904,-0.4787,0.76,-0.45,46.95,54.84,-7.89,ok
seuil_ext_short,ext_atr20,1.25,BTC,10,164,164,1.2837,2.6533,-1.3696,0.69,-0.74,56.1,55.45,0.65,ok
seuil_ext_short,ext_atr20,1.25,BTC,20,164,164,-0.2505,5.6943,-5.9448,-0.08,-1.84,43.29,56.23,-12.94,ok
seuil_ext_short,ext_atr20,1.5,US500,5,8970,931,0.0666,0.2755,-0.1125,0.5,-1.16,52.35,54.74,-2.39,ok
seuil_ext_short,ext_atr20,1.5,US500,10,8952,926,0.0609,0.5687,-0.3438,0.25,-2.1,54.2,56.07,-1.87,ok
seuil_ext_short,ext_atr20,1.5,US500,20,8861,916,0.1033,1.1413,-0.7563,0.25,-3.11,54.01,58.25,-4.23,ok
seuil_ext_short,ext_atr20,1.5,SPX,5,180,180,-0.0012,0.1496,-0.1508,-0.01,-0.64,53.89,55.83,-1.94,ok
seuil_ext_short,ext_atr20,1.5,SPX,10,180,180,0.556,0.299,0.2569,1.54,0.71,58.33,57.95,0.38,ok
seuil_ext_short,ext_atr20,1.5,SPX,20,180,180,0.8551,0.6024,0.2527,1.35,0.4,59.44,60.34,-0.89,ok
seuil_ext_short,ext_atr20,1.5,BTC,5,114,114,0.3948,1.2904,-0.8955,0.36,-0.82,43.86,54.84,-10.98,ok
seuil_ext_short,ext_atr20,1.5,BTC,10,114,114,0.6528,2.6533,-2.0005,0.31,-0.96,54.39,55.45,-1.07,ok
seuil_ext_short,ext_atr20,1.5,BTC,20,114,114,-2.1464,5.6943,-7.8407,-0.69,-2.51,40.35,56.23,-15.88,ok
seuil_ext_short,ext_atr20,2.0,US500,5,3415,722,0.0226,0.2755,-0.1849,0.15,-1.55,51.63,54.74,-3.12,ok
seuil_ext_short,ext_atr20,2.0,US500,10,3410,718,-0.0485,0.5687,-0.4399,-0.17,-2.12,52.49,56.07,-3.58,ok
