trend_len,seuil,stop_atr,trail_atr,max_bars,IS_n,IS_esp,IS_wr,OOS_n,OOS_esp,OOS_wr,tot_n,tot_esp,tot_t
250,1.5,3.0,3.0,40,176,0.6773,47.7,217,0.2842,39.6,393,0.4603,4.26
250,2.0,1.5,1.5,20,293,0.1613,38.2,299,0.1801,38.1,592,0.1708,2.67
250,2.0,1.5,1.5,40,293,0.1613,38.2,298,0.1854,38.3,591,0.1735,2.7
250,2.0,1.5,2.0,20,241,0.2423,37.8,244,0.2706,37.7,485,0.2566,3.09
250,2.0,1.5,2.0,40,240,0.2532,37.9,237,0.2916,38.0,477,0.2723,3.25
250,2.0,1.5,2.5,20,209,0.4501,35.4,219,0.3675,35.2,428,0.4078,3.09
250,2.0,1.5,2.5,40,208,0.4452,35.6,210,0.3622,35.2,418,0.4035,3.07
250,2.0,1.5,3.0,20,190,0.6784,37.4,200,0.4986,36.0,390,0.5862,3.2
250,2.0,1.5,3.0,40,183,0.781,35.5,186,0.5749,36.0,369,0.6771,3.21
250,2.0,2.0,1.5,20,288,0.137,38.5,297,0.1323,38.0,585,0.1346,2.75
250,2.0,2.0,1.5,40,288,0.137,38.5,296,0.1363,38.2,584,0.1366,2.79
250,2.0,2.0,2.0,20,227,0.2516,42.7,240,0.213,38.8,467,0.2317,3.57
250,2.0,2.0,2.0,40,226,0.2605,42.9,233,0.2232,39.1,459,0.2416,3.69
250,2.0,2.0,2.5,20,192,0.4304,42.7,213,0.274,36.6,405,0.3482,3.31
250,2.0,2.0,2.5,40,191,0.4295,42.9,204,0.2577,36.8,395,0.3408,3.25
250,2.0,2.0,3.0,20,170,0.659,45.3,192,0.3868,38.5,362,0.5146,3.45
250,2.0,2.0,3.0,40,164,0.7374,43.9,177,0.4302,38.4,341,0.578,3.36
250,2.0,3.0,1.5,20,285,0.0906,37.9,297,0.0818,38.0,582,0.0861,2.62
250,2.0,3.0,1.5,40,285,0.0906,37.9,296,0.0845,38.2,581,0.0875,2.66
250,2.0,3.0,2.0,20,223,0.1795,43.5,240,0.141,38.3,463,0.1596,3.65
250,2.0,3.0,2.0,40,222,0.1856,43.7,233,0.1479,38.6,455,0.1663,3.78
250,2.0,3.0,2.5,20,184,0.3331,45.7,207,0.2044,38.6,391,0.265,3.67
250,2.0,3.0,2.5,40,182,0.3378,45.6,199,0.1874,37.7,381,0.2592,3.58
250,2.0,3.0,3.0,20,161,0.5348,50.3,183,0.3039,42.6,344,0.412,3.95
250,2.0,3.0,3.0,40,152,0.5918,47.4,167,0.3418,43.1,319,0.4609,3.76
