symbol,side,date_signal,date_entree,date_sortie,bars,entree,stop_initial,sortie,R,ret_pct,motif,termine,atr_pct_entree
ZEC,long,2021-05-05,2021-05-06,2021-05-10,4,292.0,235.42908458582042,280.34273109695744,-0.22629922587442644,-0.04375479987024751,stop,True,0.09686800584619791
ZEC,long,2021-08-15,2021-08-16,2021-08-18,2,154.82,134.60082412857088,138.4241799884106,-0.8399110072316649,-0.10947171908325325,stop,True,0.0652989790447911
ZEC,long,2021-08-22,2021-08-23,2021-08-26,3,160.55,139.69615444910778,149.14153113213885,-0.5767690136944953,-0.07476701489655661,stop,True,0.06494501884426106
ZEC,long,2021-09-05,2021-09-06,2021-09-07,1,172.9,151.00263230846969,153.85244428643614,-0.8996999493120317,-0.11371739229543659,stop,True,0.06332379320858966
ZEC,long,2021-10-22,2021-10-23,2021-10-25,2,165.0,146.36763710194165,170.11291158279664,0.2384392030113375,0.026871624990207746,stop,True,0.05646170575169198
ZEC,long,2021-11-09,2021-11-10,2021-11-10,0,200.1,173.83349773480805,173.83349773480805,-1.0284722719423776,-0.13473487438247725,stop,True,0.06563343894350812
ZEC,long,2021-11-11,2021-11-12,2021-11-16,4,204.4,171.07020978154367,181.37656345196453,-0.7139255758580492,-0.11618148084915987,stop,True,0.08153079799035304
ZEC,long,2021-11-21,2021-11-22,2021-11-26,4,229.6,187.5241248277468,250.64552606219482,0.4773527568433187,0.08730376794351373,stop,True,0.09162864802319949
ZEC,long,2022-03-10,2022-03-11,2022-03-31,20,157.3,129.98306787526496,184.85666419701028,0.9837250664134329,0.17049404603771617,stop,True,0.08683068062534983
ZEC,long,2023-11-06,2023-11-07,2023-11-09,2,29.83,27.445997991603356,27.85297786010698,-0.8776788309085644,-0.0700037436228192,stop,True,0.039959805705609135
ZEC,long,2023-12-08,2023-12-09,2023-12-11,2,33.44,30.27464858892226,31.62130414044828,-0.6156720738848647,-0.058161740747948276,stop,True,0.0473288189455403
ZEC,long,2024-02-19,2024-02-20,2024-02-20,0,26.87,24.107433003078985,24.107433003078985,-1.0369058437749357,-0.10639390600738145,stop,True,0.051406159228154405
ZEC,long,2024-02-22,2024-02-23,2024-02-28,5,26.73,22.89887766317949,26.42342650048139,-0.10777007785719159,-0.015415497195641344,stop,True,0.07166334337486922
ZEC,long,2024-03-01,2024-03-02,2024-03-05,3,29.54,25.463916917477263,28.972208566228886,-0.1680083151003221,-0.023136389742639703,stop,True,0.06899260464662724
ZEC,long,2024-03-06,2024-03-07,2024-03-15,8,32.87,27.140873044045794,30.15727699627136,-0.49549915363123115,-0.08619140051874287,stop,True,0.08714826522595383
ZEC,long,2024-05-24,2024-05-25,2024-06-03,9,27.74,24.858573071825855,25.586535899752988,-0.7843742799608914,-0.08131239942776729,stop,True,0.05193631809975023
ZEC,long,2024-07-13,2024-07-14,2024-07-25,11,26.76,23.006888744430682,28.393254152379264,0.40578270676484013,0.056797751435637915,stop,True,0.07012539715189309
ZEC,long,2024-07-26,2024-07-27,2024-08-02,6,32.49,28.041428325265798,29.38629301407032,-0.7255046805895646,-0.0991387361306265,stop,True,0.06846062903561412
ZEC,long,2024-08-09,2024-08-10,2024-08-23,13,40.81,34.28060130794548,39.96806922327915,-0.15368749290628064,-0.024540160433052228,stop,True,0.07999753359537515
ZEC,long,2024-10-10,2024-10-11,2024-10-17,6,33.83,29.587932113303676,35.67196743675616,0.4014465462052989,0.05023837934189704,stop,True,0.06269683545220694
ZEC,long,2024-11-06,2024-11-07,2024-11-12,5,43.25,37.5778398059882,41.96728323351804,-0.2561901080443947,-0.033531811128009834,stop,True,0.06557410628915376
ZEC,long,2024-11-23,2024-11-24,2024-11-25,1,48.83,40.876635843853165,48.78759042643508,-0.029879777884195134,-0.004857063559094926,stop,True,0.08143932168899073
ZEC,long,2024-11-27,2024-11-28,2024-12-09,11,56.49,46.25940093545112,65.97832808472286,0.9035044155511527,0.16330220473468726,stop,True,0.09055230186359428
ZEC,long,2024-12-25,2024-12-26,2024-12-30,4,73.53,57.659773920048025,58.785974930510505,-0.9457116076191355,-0.20370868516401872,stop,True,0.10791667401028134
ZEC,long,2025-05-10,2025-05-11,2025-05-15,4,43.61,37.87581572891777,39.86397174828078,-0.6823945674276836,-0.08954748597773002,stop,True,0.06574391505482952
ZEC,long,2025-05-22,2025-05-23,2025-05-30,7,48.98,42.578070643941246,49.154347554706526,-0.0034241459384649776,-0.000446659567815946,stop,True,0.06535248423906444
ZEC,long,2025-08-22,2025-08-23,2025-08-25,2,43.92,37.746762766085745,40.42817809932903,-0.5929657517063553,-0.08317877580153057,stop,True,0.07027820166113684
ZEC,long,2025-09-06,2025-09-07,2025-09-15,8,47.48,41.62345240412857,49.156769160232194,0.25330548375591216,0.03118227786028062,stop,True,0.061673837361746316
ZEC,long,2025-09-23,2025-09-24,2025-09-26,2,55.14,48.142713617518226,53.60251978769549,-0.2508065492751001,-0.03176391598160049,stop,True,0.06345018482482566
