seuil,stop_atr,trail_atr,max_bars,IS_n,IS_esp,OOS_n,OOS_esp,OOS_wr,tot_n,tot_esp,tot_wr,tot_t,R_par_an,dd_seq_%
3.0,1.25,4.0,40,108,0.8548,92,1.3733,29.3,200,1.0933,26.0,2.98,24.0,-24.2
3.0,1.25,5.0,40,105,0.6776,90,1.8551,32.2,195,1.221,25.1,3.18,26.2,-20.2
3.0,1.25,6.0,40,105,0.5294,90,1.8676,32.2,195,1.147,23.1,3.07,24.6,-21.9
3.0,1.25,0.0,40,103,0.6356,90,1.8659,32.2,193,1.2093,21.8,2.96,25.6,-29.4
3.0,1.5,2.0,40,134,0.0917,124,0.2084,43.5,258,0.1478,42.6,1.53,4.2,-13.3
3.0,1.5,3.0,40,109,0.7573,105,0.4794,37.1,214,0.621,33.2,2.45,14.6,-20.8
3.0,1.5,4.0,40,101,0.908,92,1.0979,30.4,193,0.9985,29.5,3.01,21.2,-22.0
3.0,1.5,5.0,40,98,0.9199,90,1.5334,34.4,188,1.2136,28.7,3.42,25.1,-20.2
3.0,1.5,6.0,40,98,0.7966,90,1.5419,34.4,188,1.1534,27.7,3.36,23.8,-19.7
3.0,1.5,0.0,40,96,0.9119,90,1.5405,34.4,186,1.2161,26.3,3.2,24.9,-26.4
3.0,2.0,2.0,40,127,0.2123,119,0.2502,46.2,246,0.2307,46.7,2.55,6.2,-8.6
3.0,2.0,3.0,40,102,0.7303,100,0.418,39.0,202,0.5757,36.6,2.72,12.8,-13.4
3.0,2.0,4.0,40,94,0.8442,87,1.3067,33.3,181,1.0665,34.3,2.64,21.2,-18.9
3.0,2.0,5.0,40,91,0.8482,85,1.6573,36.5,176,1.2389,33.5,2.91,24.0,-17.0
3.0,2.0,6.0,40,91,0.728,85,1.6539,36.5,176,1.1751,33.0,2.8,22.7,-14.9
3.0,2.0,0.0,40,89,0.767,85,1.6462,36.5,174,1.1965,30.5,2.71,22.9,-19.5
3.0,2.5,2.0,40,125,0.2039,118,0.2105,46.6,243,0.2071,47.7,2.84,5.5,-6.0
3.0,2.5,3.0,40,96,0.6775,97,0.3868,43.3,193,0.5314,40.4,3.01,11.3,-8.3
3.0,2.5,4.0,40,87,0.7765,82,1.4192,41.5,169,1.0883,40.2,3.07,20.2,-14.9
3.0,2.5,5.0,40,84,0.836,78,1.8511,46.2,162,1.3247,42.0,3.51,23.6,-14.3
3.0,2.5,6.0,40,84,0.7157,78,1.8663,48.7,162,1.2697,43.2,3.4,22.6,-11.5
3.0,2.5,0.0,40,81,0.8106,78,1.8266,47.4,159,1.309,41.5,3.32,22.9,-11.5
3.5,1.0,2.0,40,91,0.114,91,-0.0769,26.4,182,0.0186,29.7,0.13,0.4,-16.9
3.5,1.0,3.0,40,77,1.361,82,0.0341,25.6,159,0.6767,25.2,1.68,11.8,-18.7
3.5,1.0,4.0,40,76,1.2317,72,1.2897,23.6,148,1.2599,20.9,2.36,20.5,-15.9
3.5,1.0,5.0,40,74,1.0598,72,1.527,23.6,146,1.2902,19.2,2.42,20.7,-17.6
3.5,1.0,6.0,40,74,0.884,72,1.5393,22.2,146,1.2072,18.5,2.34,19.4,-18.3
3.5,1.0,0.0,40,72,1.1322,72,1.5562,23.6,144,1.3442,17.4,2.3,21.3,-25.3
3.5,1.25,2.0,40,87,0.1292,85,0.0079,34.1,172,0.0693,36.0,0.54,1.3,-12.2
3.5,1.25,3.0,40,74,1.1568,73,0.4268,32.9,147,0.7943,29.9,2.14,12.8,-16.7
3.5,1.25,4.0,40,73,1.0387,62,1.5986,30.6,135,1.2958,25.9,2.68,19.2,-15.9
3.5,1.25,5.0,40,71,0.8605,62,1.8057,30.6,133,1.3011,24.1,2.69,19.0,-17.2
3.5,1.25,6.0,40,71,0.6817,62,1.8209,29.0,133,1.2127,23.3,2.58,17.7,-19.4
3.5,1.25,0.0,40,69,0.8932,62,1.8641,30.6,131,1.3527,22.1,2.56,19.5,-25.1
3.5,1.5,2.0,40,84,0.1497,85,-0.0686,34.1,169,0.0399,39.1,0.36,0.7,-12.0
3.5,1.5,3.0,40,69,1.2121,72,0.3845,34.7,141,0.7895,33.3,2.18,12.2,-14.5
3.5,1.5,4.0,40,68,1.0276,62,1.2481,30.6,130,1.1327,27.7,2.54,16.2,-15.7
3.5,1.5,5.0,40,66,0.9911,62,1.4261,32.3,128,1.2018,26.6,2.7,16.9,-16.9
3.5,1.5,6.0,40,66,0.8396,62,1.4387,30.6,128,1.1298,26.6,2.64,15.9,-16.9
3.5,1.5,0.0,40,64,1.0744,62,1.4747,32.3,126,1.2714,25.4,2.58,17.6,-22.1
3.5,2.0,2.0,40,81,0.2861,80,0.0753,37.5,161,0.1814,43.5,1.6,3.2,-8.5
3.5,2.0,3.0,40,65,1.2009,68,0.4505,38.2,133,0.8172,39.1,2.73,11.9,-10.4
3.5,2.0,4.0,40,62,1.1649,58,1.8095,34.5,120,1.4765,35.0,2.54,19.5,-13.1
3.5,2.0,5.0,40,60,1.0577,57,2.1741,38.6,117,1.6016,35.9,2.67,20.6,-10.1
3.5,2.0,6.0,40,60,0.9331,57,2.1712,38.6,117,1.5363,35.9,2.6,19.8,-7.9
3.5,2.0,0.0,40,58,1.0901,57,2.1539,40.4,115,1.6174,33.0,2.56,20.4,-9.1
3.5,2.5,2.0,40,80,0.2601,79,0.0687,38.0,159,0.165,44.7,1.81,2.9,-7.3
3.5,2.5,3.0,40,62,1.0788,67,0.3423,40.3,129,0.6963,41.9,2.82,9.9,-8.2
3.5,2.5,4.0,40,59,1.003,56,1.5449,39.3,115,1.2669,39.1,2.6,16.0,-11.5
3.5,2.5,5.0,40,57,0.9809,55,1.8316,41.8,112,1.3986,42.0,2.78,17.2,-9.6
3.5,2.5,6.0,40,57,0.8712,55,1.8417,43.6,112,1.3478,43.8,2.72,16.6,-7.5
3.5,2.5,0.0,40,55,1.0547,55,1.8273,45.5,110,1.441,41.8,2.73,17.4,-7.5
