univers,condition,horizon_j,n_obs,n_dates,mean_fwd_pct,mean_base_pct,mean_excess_pct,t_absolu,t_excess,hit_rate,hit_rate_base,edge_hit_pts,status
US500,P6 C>SMA200 & pente+ & RSI2<10,5,25347,975,0.3235,0.2755,0.1154,2.8,1.7,56.41,54.74,1.67,ok
US500,P6 C>SMA200 & pente+ & RSI2<10,10,25150,970,0.5087,0.5687,0.0333,2.7,0.32,57.15,56.07,1.07,ok
US500,P6 C>SMA200 & pente+ & RSI2<10,20,25041,960,1.0273,1.1413,0.123,3.15,0.79,58.77,58.25,0.53,ok
US500,P7 C<SMA200 & RSI2>90,1,16663,1013,0.0361,0.0543,-0.0062,1.05,-0.23,48.96,52.13,-3.18,ok
US500,P7 C<SMA200 & RSI2>90,3,16663,1013,0.1876,0.1621,0.0641,2.54,1.11,52.74,53.91,-1.17,ok
US500,P7 C<SMA200 & RSI2>90,5,16656,1011,0.2277,0.2755,0.0154,2.0,0.19,52.76,54.74,-1.98,ok
US500,P7 C<SMA200 & RSI2>90,10,16626,1006,0.3312,0.5687,-0.1124,1.57,-0.78,55.05,56.07,-1.02,ok
US500,P7 C<SMA200 & RSI2>90,20,16523,996,0.6989,1.1413,-0.2599,1.8,-1.08,57.3,58.25,-0.95,ok
US500,P8 C<SMA200 & pente- & RSI2>90,1,13301,977,0.0427,0.0543,-0.0001,1.18,-0.0,48.98,52.13,-3.15,ok
US500,P8 C<SMA200 & pente- & RSI2>90,3,13301,977,0.176,0.1621,0.0468,2.26,0.79,52.89,53.91,-1.02,ok
US500,P8 C<SMA200 & pente- & RSI2>90,5,13295,975,0.1895,0.2755,-0.0205,1.56,-0.25,52.84,54.74,-1.9,ok
US500,P8 C<SMA200 & pente- & RSI2>90,10,13272,971,0.324,0.5687,-0.1179,1.44,-0.81,55.19,56.07,-0.88,ok
US500,P8 C<SMA200 & pente- & RSI2>90,20,13179,961,0.5754,1.1413,-0.3334,1.33,-1.27,57.2,58.25,-1.05,ok
US500,B1 nouveau plus haut 20j,1,12683,992,-0.0271,0.0543,-0.0634,-0.77,-2.12,49.37,52.13,-2.76,ok
US500,B1 nouveau plus haut 20j,3,12683,992,0.033,0.1621,-0.0842,0.54,-1.85,52.23,53.91,-1.68,ok
US500,B1 nouveau plus haut 20j,5,12676,991,0.1042,0.2755,-0.1038,1.18,-1.71,53.41,54.74,-1.33,ok
US500,B1 nouveau plus haut 20j,10,12575,987,0.326,0.5687,-0.1089,2.28,-1.08,55.15,56.07,-0.92,ok
US500,B1 nouveau plus haut 20j,20,12318,978,0.5957,1.1413,-0.3416,2.49,-2.07,55.45,58.25,-2.8,ok
US500,B2 nouveau plus haut 252j,1,4417,698,-0.0178,0.0543,-0.063,-0.43,-1.71,48.74,52.13,-3.39,ok
US500,B2 nouveau plus haut 252j,3,4417,698,0.054,0.1621,-0.0867,0.82,-1.59,51.85,53.91,-2.06,ok
US500,B2 nouveau plus haut 252j,5,4411,697,0.117,0.2755,-0.0777,1.19,-0.99,51.85,54.74,-2.89,ok
US500,B2 nouveau plus haut 252j,10,4340,694,0.3024,0.5687,-0.0786,1.85,-0.55,53.66,56.07,-2.41,ok
US500,B2 nouveau plus haut 252j,20,4151,685,0.5187,1.1413,-0.2539,1.92,-1.12,55.05,58.25,-3.2,ok
US500,B3 nouveau plus bas 20j,1,5968,709,0.1256,0.0543,0.0961,1.44,1.18,54.41,52.13,2.27,ok
US500,B3 nouveau plus bas 20j,3,5850,708,0.3223,0.1621,0.1773,2.67,1.83,54.96,53.91,1.05,ok
US500,B3 nouveau plus bas 20j,5,5824,706,0.462,0.2755,0.1763,3.07,1.57,58.65,54.74,3.91,ok
US500,B3 nouveau plus bas 20j,10,5807,703,0.6394,0.5687,0.0572,2.62,0.37,61.53,56.07,5.46,ok
US500,B3 nouveau plus bas 20j,20,5778,698,1.3964,1.1413,0.1239,3.63,0.57,63.79,58.25,5.55,ok
US500,V1 vol calme (rang<0.3),1,168208,965,0.0324,0.0543,-0.0051,1.27,-0.4,51.62,52.13,-0.51,ok
US500,V1 vol calme (rang<0.3),3,168189,963,0.0849,0.1621,-0.039,1.4,-1.51,52.42,53.91,-1.49,ok
US500,V1 vol calme (rang<0.3),5,168031,961,0.172,0.2755,-0.04,1.86,-0.97,52.78,54.74,-1.96,ok
US500,V1 vol calme (rang<0.3),10,167359,956,0.4029,0.5687,-0.0364,2.42,-0.54,53.61,56.07,-2.46,ok
US500,V1 vol calme (rang<0.3),20,165318,946,0.8482,1.1413,0.0117,2.64,0.09,55.55,58.25,-2.7,ok
US500,V2 vol elevee (rang>0.8),1,103461,987,0.0252,0.0543,-0.0164,0.86,-1.54,52.7,52.13,0.57,ok
US500,V2 vol elevee (rang>0.8),3,102952,985,0.0809,0.1621,-0.0436,1.11,-1.68,55.12,53.91,1.22,ok
US500,V2 vol elevee (rang>0.8),5,102709,983,0.1578,0.2755,-0.0598,1.35,-1.4,56.44,54.74,1.7,ok
US500,V2 vol elevee (rang>0.8),10,102287,978,0.3763,0.5687,-0.0779,1.78,-1.04,58.49,56.07,2.42,ok
US500,V2 vol elevee (rang>0.8),20,101922,968,0.8043,1.1413,-0.1139,2.08,-0.88,60.4,58.25,2.15,ok
US500,V3 compression de range (<0.7),1,42832,1132,0.0555,0.0543,0.0189,2.05,1.27,50.87,52.13,-1.27,ok
US500,V3 compression de range (<0.7),3,42832,1132,0.1621,0.1621,0.0393,2.52,1.21,51.79,53.91,-2.12,ok
US500,V3 compression de range (<0.7),5,42828,1131,0.2754,0.2755,0.0588,2.75,1.12,52.39,54.74,-2.35,ok
US500,V3 compression de range (<0.7),10,42794,1126,0.616,0.5687,0.1893,3.47,2.31,52.42,56.07,-3.65,ok
US500,V3 compression de range (<0.7),20,42667,1116,1.0909,1.1413,0.2443,3.73,1.73,54.28,58.25,-3.96,ok
US500,X1 C>SMA200 & vol calme,1,194706,985,0.0465,0.0543,0.0074,1.88,0.6,51.76,52.13,-0.37,ok
US500,X1 C>SMA200 & vol calme,3,194658,983,0.1265,0.1621,0.004,2.1,0.12,52.86,53.91,-1.04,ok
US500,X1 C>SMA200 & vol calme,5,194358,981,0.2177,0.2755,0.0035,2.27,0.06,53.39,54.74,-1.35,ok
US500,X1 C>SMA200 & vol calme,10,193242,976,0.4426,0.5687,-0.008,2.5,-0.08,54.42,56.07,-1.65,ok
US500,X1 C>SMA200 & vol calme,20,190390,966,0.855,1.1413,-0.0503,2.58,-0.31,56.48,58.25,-1.77,ok
US500,X2 C>SMA200 & vol extreme,1,47464,987,0.014,0.0543,-0.0275,0.51,-1.99,52.73,52.13,0.6,ok
US500,X2 C>SMA200 & vol extreme,3,47132,985,0.0452,0.1621,-0.0793,0.7,-2.49,55.2,53.91,1.3,ok
US500,X2 C>SMA200 & vol extreme,5,46960,983,0.1048,0.2755,-0.1128,1.04,-2.21,56.43,54.74,1.69,ok
US500,X2 C>SMA200 & vol extreme,10,46633,978,0.2873,0.5687,-0.167,1.61,-1.83,57.87,56.07,1.79,ok
US500,X2 C>SMA200 & vol extreme,20,46407,968,0.6884,1.1413,-0.2298,2.08,-1.24,59.36,58.25,1.12,ok
US500,X3 C>SMA200 & RSI2<10 & vol<0.8,1,22664,908,0.1103,0.0543,0.0709,3.12,2.8,56.44,52.13,4.31,ok
US500,X3 C>SMA200 & RSI2<10 & vol<0.8,3,22507,906,0.1704,0.1621,0.0593,2.22,1.3,55.92,53.91,2.01,ok
US500,X3 C>SMA200 & RSI2<10 & vol<0.8,5,22321,904,0.2878,0.2755,0.0749,2.55,1.2,57.0,54.74,2.26,ok
US500,X3 C>SMA200 & RSI2<10 & vol<0.8,10,22146,899,0.4563,0.5687,-0.0132,2.55,-0.13,56.75,56.07,0.67,ok
US500,X3 C>SMA200 & RSI2<10 & vol<0.8,20,22045,889,0.9493,1.1413,0.0681,2.92,0.45,58.51,58.25,0.27,ok
US500,X4 C>SMA200 & RSI2<10 & vol>0.8,1,3439,668,0.0901,0.0543,0.0516,1.7,1.16,55.39,52.13,3.26,ok
US500,X4 C>SMA200 & RSI2<10 & vol>0.8,3,3292,666,0.1222,0.1621,0.0102,1.15,0.12,56.99,53.91,3.08,ok
US500,X4 C>SMA200 & RSI2<10 & vol>0.8,5,3236,664,0.2735,0.2755,0.0446,1.75,0.41,57.45,54.74,2.71,ok
US500,X4 C>SMA200 & RSI2<10 & vol>0.8,10,3192,659,0.483,0.5687,-0.0782,1.9,-0.41,60.37,56.07,4.3,ok
US500,X4 C>SMA200 & RSI2<10 & vol>0.8,20,3170,650,1.08,1.1413,0.0858,2.67,0.33,61.07,58.25,2.83,ok
US500,S1 cloture dans le haut de barre (>0.8),1,149741,1248,0.0561,0.0543,0.0081,2.32,0.64,50.68,52.13,-1.45,ok
US500,S1 cloture dans le haut de barre (>0.8),3,149381,1247,0.1423,0.1621,-0.0144,2.63,-0.73,53.42,53.91,-0.49,ok
US500,S1 cloture dans le haut de barre (>0.8),5,149273,1245,0.2184,0.2755,-0.049,2.54,-2.04,54.04,54.74,-0.7,ok
US500,S1 cloture dans le haut de barre (>0.8),10,148719,1240,0.5202,0.5687,-0.0346,3.31,-0.92,55.34,56.07,-0.73,ok
US500,S1 cloture dans le haut de barre (>0.8),20,147281,1230,1.0622,1.1413,-0.0593,3.78,-1.08,57.86,58.25,-0.39,ok
US500,S2 cloture dans le bas de barre (<0.2),1,123078,1252,0.0559,0.0543,0.008,2.08,0.55,53.39,52.13,1.26,ok
US500,S2 cloture dans le bas de barre (<0.2),3,122647,1250,0.1718,0.1621,0.0182,2.77,0.91,54.31,53.91,0.4,ok
US500,S2 cloture dans le bas de barre (<0.2),5,122205,1248,0.3,0.2755,0.0321,3.01,1.12,55.88,54.74,1.14,ok
US500,S2 cloture dans le bas de barre (<0.2),10,121539,1243,0.6259,0.5687,0.063,3.61,1.53,57.42,56.07,1.35,ok
US500,S2 cloture dans le bas de barre (<0.2),20,120734,1233,1.183,1.1413,0.0396,3.71,0.72,59.23,58.25,0.99,ok
US500,S3 C>SMA200 & RSI2<10 & cloture>0.5,1,4743,767,0.0271,0.0543,-0.0251,0.29,-0.28,54.29,52.13,2.16,ok
US500,S3 C>SMA200 & RSI2<10 & cloture>0.5,3,4700,765,0.0747,0.1621,-0.0616,0.65,-0.62,55.28,53.91,1.37,ok
US500,S3 C>SMA200 & RSI2<10 & cloture>0.5,5,4677,763,0.1837,0.2755,-0.0617,1.3,-0.55,56.13,54.74,1.39,ok
US500,S3 C>SMA200 & RSI2<10 & cloture>0.5,10,4645,758,0.3462,0.5687,-0.1718,1.69,-1.21,56.88,56.07,0.81,ok
US500,S3 C>SMA200 & RSI2<10 & cloture>0.5,20,4623,749,0.8403,1.1413,-0.1228,2.32,-0.62,60.26,58.25,2.02,ok
US500,C1 tour du mois (jour>=28 ou <=3),1,128652,262,0.0407,0.0543,0.0,0.8,0.0,50.86,52.13,-1.27,ok
US500,C1 tour du mois (jour>=28 ou <=3),3,128652,262,0.0359,0.1621,0.0,0.32,0.0,51.08,53.91,-2.82,ok
US500,C1 tour du mois (jour>=28 ou <=3),5,127656,260,0.0952,0.2755,0.0,0.55,0.0,51.89,54.74,-2.85,ok
US500,C1 tour du mois (jour>=28 ou <=3),10,126162,257,0.4495,0.5687,0.0,1.51,0.0,54.32,56.07,-1.76,ok
US500,C1 tour du mois (jour>=28 ou <=3),20,126162,257,1.2091,1.1413,0.0,4.29,0.0,58.35,58.25,0.1,ok
US500,C2 lundi,1,115776,236,0.0523,0.0543,0.0,1.06,0.0,51.7,52.13,-0.43,ok
US500,C2 lundi,3,115278,235,0.2021,0.1621,0.0,2.46,0.0,53.36,53.91,-0.54,ok
US500,C2 lundi,5,115278,235,0.2679,0.2755,0.0,2.62,0.0,55.14,54.74,0.4,ok
